0	1	2	3	4	phrase	tower	unit
959	1272	1,480萬	2017	15.1%	1	1	SC
959	1272	1,281萬	2010		1	1	SC
959	1272	1,279萬	2010		1	1	SC
959	1272	1,330萬	2016	4.1%	1	1	SC
959	1273	1,275萬	2010		1	1	SC
959	1273	1,205萬	2011	10.2%	1	1	SC
959	1273	1,202萬	2011	10.2%	1	1	SC
959	1273	1,488萬	2017	17.2%	1	1	SC
959	1273	1,398萬	2015	6.9%	1	1	SC
959	1273	1,333萬	2010		1	1	SC
959	1273	1,329萬	2010		1	1	SC
959	1273	1,259萬	2010		1	1	SC
959	1273	1,257萬	2010		1	1	SC
959	1273	1,255萬	2010		1	1	SC
959	1273	1,253萬	2010		1	1	SC
959	1273	1,385萬	2017	5.0%	1	1	SC
959	1273	972萬	2012	26.0%	1	1	SC
959	1273	1,235萬	2010		1	1	SC
959	1273	1,235萬	2010		1	1	SC
959	1273	1,231萬	2010		1	1	SC
959	1273	1,266萬	2011	3.0%	1	1	SC
959	1273	1,430萬	2017	16.5%	1	1	SC
959	1273	1,198萬	2011	2.2%	1	1	SC
959	1273	1,151萬	2011	10.8%	1	1	SC
959	1273	1,287萬	2010		1	1	SC
959	1273	1,219萬	2010		1	1	SC
959	1273	1,259萬	2010		1	1	SC
959	1273	1,215萬	2010		1	1	SC
959	1273	1,360萬	2017	6.4%	1	1	SC
959	1273	1,277萬	2010		1	1	SC
959	1273	1,209萬	2010		1	1	SC
959	1273	1,207萬	2010		1	1	SC
959	1273	1,131萬	2011		1	1	SC
959	1273	1,400萬	2017	40.3%	1	1	SC
959	1273	1,268萬	2010		1	1	SC
959	1273	1,201萬	2010		1	1	SC
959	1273	1,125萬	2011		1	1	SC
959	1273	1,430萬	2018	19.6%	1	1	SC
959	1273	1,112萬	2011		1	1	SC
959	1273	913萬	2012		1	1	SC
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	1	SD
					1	1	SD
739	982	952萬	2010		1	1	SD
739	982	903萬	2010		1	1	SD
739	982	980萬	2015	8.9%	1	1	SD
739	982	897萬	2010		1	1	SD
739	982	1,200萬	2017	34.0%	1	1	SD
742	982	996萬	2015	11.4%	1	1	SD
742	982	893萬	2010		1	1	SD
742	982	1,000萬	2015	12.2%	1	1	SD
742	982	890萬	2010		1	1	SD
742	982	888萬	2010		1	1	SD
742	982	887萬	2010		1	1	SD
742	982	852萬	2014	3.7%	1	1	SD
742	982	882萬	2010		1	1	SD
742	982	881萬	2010		1	1	SD
742	982	870萬	2014	1.0%	1	1	SD
742	982	1,320萬	2018	50.4%	1	1	SD
742	982	1,015萬	2014	15.9%	1	1	SD
742	982	875萬	2010		1	1	SD
742	982	872萬	2010		1	1	SD
742	982	909萬	2010		1	1	SD
742	982	863萬	2010		1	1	SD
742	982	860萬	2010		1	1	SD
742	982	858萬	2010		1	1	SD
742	982	857萬	2010		1	1	SD
742	982	855萬	2010		1	1	SD
742	982	854萬	2010		1	1	SD
742	982	852萬	2010		1	1	SD
742	982	851萬	2010		1	1	SD
742	982	839萬	2014	1.4%	1	1	SD
742	982	848萬	2010		1	1	SD
742	982	892萬	2010		1	1	SD
742	982	845萬	2010		1	1	SD
742	982	889萬	2010		1	1	SD
742	982	842萬	2010		1	1	SD
742	982	885萬	2010		1	1	SD
742	982	1,020萬	2017	21.6%	1	1	SD
742	982	839萬	2010		1	1	SD
742	982	837萬	2010		1	1	SD
742	982	832萬	2011		1	1	SD
742	982	833萬	2010		1	1	SD
742	982	800萬	2015	2.7%	1	1	SD
720	956	822萬	2011		1	1	SD
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	1	NA
					1	1	NA
675	901	784萬	2011		1	1	NA
675	901	711萬	2010		1	1	NA
675	901	723萬	2010		1	1	NA
675	901	720萬	2010		1	1	NA
675	901	704萬	2010		1	1	NA
677	901	814萬	2015	13.5%	1	1	NA
677	901	802萬	2016	12.1%	1	1	NA
677	901	751萬	2013	5.2%	1	1	NA
677	901	730萬	2012	2.5%	1	1	NA
677	901	711萬	2010		1	1	NA
677	901	745萬	2013	5.0%	1	1	NA
677	901	708萬	2010		1	1	NA
677	901	705萬	2010		1	1	NA
677	901	730萬	2014	3.8%	1	1	NA
677	901	955萬	2017	36.1%	1	1	NA
677	901	700萬	2010		1	1	NA
677	901	699萬	2010		1	1	NA
677	901	768萬	2012	10.2%	1	1	NA
677	901	780萬	2013	12.1%	1	1	NA
677	901	694萬	2010		1	1	NA
677	901	694萬	2010		1	1	NA
677	901	691萬	2010		1	1	NA
677	901	689萬	2010		1	1	NA
677	901	674萬	2010		1	1	NA
677	901	738萬	2012	7.5%	1	1	NA
677	901	688萬	2012	2.6%	1	1	NA
677	901	788萬	2014	17.7%	1	1	NA
677	901	668萬	2010		1	1	NA
677	901	640萬	2011	4.2%	1	1	NA
677	901	679萬	2010		1	1	NA
677	901	677萬	2010		1	1	NA
677	901	662萬	2010		1	1	NA
677	901	674萬	2010		1	1	NA
677	901	671萬	2010		1	1	NA
677	901	720萬	2013	7.8%	1	1	NA
677	901	660萬	2010		1	1	NA
677	901	635萬	2011	3.8%	1	1	NA
677	901	1,030萬	2018	59.0%	1	1	NA
677	901	900萬	2018	39.8%	1	1	NA
677	901	706萬	2011		1	1	NA
677	901	960萬	2017	37.3%	1	1	NA
656	874	674萬	2010		1	1	NA
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	1	NB
					1	1	NB
785	1030	805萬	2010		1	1	NB
785	1030	805萬	2010		1	1	NB
785	1030	802萬	2010		1	1	NB
785	1030	880萬	2016	12.5%	1	1	NB
785	1030	797萬	2010		1	1	NB
785	1030	796萬	2010		1	1	NB
785	1030	794萬	2010		1	1	NB
785	1030	776萬	2010		1	1	NB
785	1030	788萬	2014	1.7%	1	1	NB
785	1030	790萬	2010		1	1	NB
785	1030	788萬	2010		1	1	NB
785	1030	787萬	2010		1	1	NB
785	1030	1,100萬	2017	43.3%	1	1	NB
785	1030	782萬	2010		1	1	NB
785	1030	900萬	2017	17.7%	1	1	NB
785	1030	779萬	2010		1	1	NB
785	1030	777萬	2010		1	1	NB
785	1030	863萬	2013	11.2%	1	1	NB
785	1030	914萬	2015	18.0%	1	1	NB
785	1030	1,300萬	2019	71.8%	1	1	NB
785	1030	1,095萬	2017	41.7%	1	1	NB
785	1030	810萬	2012	5.2%	1	1	NB
785	1030	752萬	2010		1	1	NB
785	1030	857萬	2014	11.8%	1	1	NB
785	1030	930萬	2015	21.6%	1	1	NB
785	1030	764萬	2010		1	1	NB
785	1030	1,030萬	2017	38.0%	1	1	NB
785	1030	745萬	2010		1	1	NB
785	1030	760萬	2010		1	1	NB
785	1030	742萬	2010		1	1	NB
785	1030	756萬	2010		1	1	NB
785	1030	739萬	2010		1	1	NB
785	1030	753萬	2010		1	1	NB
785	1030	744萬	2010		1	1	NB
785	1030	1,118萬	2019	48.6%	1	1	NB
785	1030	800萬	2013	6.7%	1	1	NB
785	1030	820萬	2013	10.8%	1	1	NB
785	1030	720萬	2012	2.7%	1	1	NB
785	1030	753萬	2010		1	1	NB
785	1030	753萬	2010		1	1	NB
785	1030	784萬	2011		1	1	NB
785	1030	774萬	2011		1	1	NB
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	1	NC
					1	1	NC
1555	2060	2,678萬	2011		1	1	NC
959	1273	1,140萬	2011		1	1	NC
959	1273	1,135萬	2011		1	1	NC
959	1273	1,131萬	2011		1	1	NC
959	1273	1,129萬	2011		1	1	NC
959	1273	1,285萬	2015	14.0%	1	1	NC
959	1273	1,125萬	2011		1	1	NC
959	1273	1,122萬	2011		1	1	NC
959	1273	1,120萬	2011		1	1	NC
959	1273	1,118萬	2011		1	1	NC
959	1273	1,116萬	2011		1	1	NC
959	1273	1,114萬	2011		1	1	NC
959	1273	1,422萬	2017	28.1%	1	1	NC
959	1273	1,380萬	2017	24.6%	1	1	NC
959	1273	1,105萬	2011		1	1	NC
959	1273	1,103萬	2011		1	1	NC
959	1273	1,101萬	2011		1	1	NC
959	1273	1,600萬	2018	45.6%	1	1	NC
959	1273	1,094萬	2011		1	1	NC
959	1273	1,200萬	2015	11.0%	1	1	NC
959	1273	1,081萬	2011		1	1	NC
959	1273	1,038萬	2014	3.6%	1	1	NC
959					1	1	NC
959	1273	1,308萬	2016	21.9%	1	1	NC
959	1273	1,071萬	2011		1	1	NC
959	1273	1,162萬	2014	8.8%	1	1	NC
959	1273	1,130萬	2014	6.0%	1	1	NC
959	1273	1,064萬	2011		1	1	NC
959	1273	1,064萬	2011		1	1	NC
959	1273	1,060萬	2011		1	1	NC
959	1273	1,058萬	2011		1	1	NC
959	1273	1,150萬	2015	9.0%	1	1	NC
959	1273	1,053萬	2011		1	1	NC
959	1273	1,051萬	2011		1	1	NC
959	1273	1,049萬	2011		1	1	NC
959	1273	1,068萬	2014	2.0%	1	1	NC
959	1273	1,047萬	2011		1	1	NC
959	1273	1,045萬	2011		1	1	NC
959	1273	940萬	2014	9.8%	1	1	NC
959	1273	1,038萬	2011		1	1	NC
959	1273	1,030萬	2011		1	1	NC
959	1273	1,017萬	2011		1	1	NC
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	1	ND
					1	1	ND
737	980	894萬	2011		1	1	ND
737	980	894萬	2011		1	1	ND
737	980	891萬	2011		1	1	ND
737	980	932萬	2010		1	1	ND
737	980	886萬	2011		1	1	ND
739	980	884萬	2011		1	1	ND
739	980	882萬	2011		1	1	ND
739	980	881萬	2011		1	1	ND
739	980	877萬	2010		1	1	ND
739	980	878萬	2011		1	1	ND
739	980	888萬	2011	1.6%	1	1	ND
739	980	873萬	2010		1	1	ND
739	980	870萬	2010		1	1	ND
739	980	868萬	2010		1	1	ND
739	980	867萬	2010		1	1	ND
739	980	838萬	2014	3.1%	1	1	ND
739	980	910萬	2010		1	1	ND
739	980	862萬	2010		1	1	ND
739	980	859萬	2010		1	1	ND
739	980	896萬	2010		1	1	ND
739	980	850萬	2010		1	1	ND
739	980	847萬	2010		1	1	ND
739	980	846萬	2010		1	1	ND
739	980	844萬	2010		1	1	ND
739	980	1,000萬	2017	18.7%	1	1	ND
739	980	868萬	2016	3.2%	1	1	ND
739	980	840萬	2010		1	1	ND
739	980	838萬	2010		1	1	ND
739	980	1,280萬	2018	52.7%	1	1	ND
739	980	835萬	2010		1	1	ND
739	980	834萬	2010		1	1	ND
739	980	832萬	2010		1	1	ND
739	980	855萬	2016	2.9%	1	1	ND
739	980	829萬	2010		1	1	ND
739	980	854萬	2010		1	1	ND
739	980	826萬	2010		1	1	ND
739	980	853萬	2010		1	1	ND
739	980	820萬	2014	0.1%	1	1	ND
739	980	823萬	2010		1	1	ND
739	980	820萬	2010		1	1	ND
739	980	783萬	2014	3.3%	1	1	ND
718	953	845萬	2015	4.4%	1	1	ND
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	2	SA
677	903	714萬	2010		1	2	SA
677	903	714萬	2010		1	2	SA
677	903	1,320萬	2018	85.6%	1	2	SA
677	903	725萬	2010		1	2	SA
677	903	707萬	2010		1	2	SA
677	903	720萬	2010		1	2	SA
679	903	777萬	2014	8.2%	1	2	SA
679	903	717萬	2010		1	2	SA
679	903	800萬	2013	11.8%	1	2	SA
679	903	699萬	2010		1	2	SA
679	903	818萬	2016	14.8%	1	2	SA
679	903	915萬	2016	28.9%	1	2	SA
679	903	718萬	2012	1.2%	1	2	SA
679	903	706萬	2010		1	2	SA
679	903	810萬	2014	14.9%	1	2	SA
679	903	703萬	2010		1	2	SA
679	903	702萬	2010		1	2	SA
679	903	700萬	2010		1	2	SA
679	903	1,120萬	2018	60.3%	1	2	SA
679	903	683萬	2010		1	2	SA
679	903	720萬	2012	2.4%	1	2	SA
679	903	696萬	2010		1	2	SA
679	903	800萬	2014	15.5%	1	2	SA
679	903	691萬	2010		1	2	SA
679	903	689萬	2010		1	2	SA
679	903	873萬	2015	25.0%	1	2	SA
679	903	686萬	2010		1	2	SA
679	903	685萬	2010		1	2	SA
679	903	1,068萬	2018	56.3%	1	2	SA
679	903	683萬	2010		1	2	SA
679	903	740萬	2016	8.8%	1	2	SA
679	903	810萬	2015	19.3%	1	2	SA
679	903	697萬	2012	5.1%	1	2	SA
679	903	775萬	2014	14.7%	1	2	SA
679	903	880萬	2016	33.6%	1	2	SA
679	903	669萬	2010		1	2	SA
679	903	833萬	2015	23.8%	1	2	SA
679	903	654萬	2010		1	2	SA
679	903	780萬	2016	17.0%	1	2	SA
679	903	651萬	2010		1	2	SA
679	903	648萬	2010		1	2	SA
679	903	1,030萬	2018	57.1%	1	2	SA
658	875	790萬	2016	17.2%	1	2	SA
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	2	SB
785	1030	790萬	2010		1	2	SB
785	1030	806萬	2010		1	2	SB
785	1030	928萬	2015	15.5%	1	2	SB
785	1030	1,150萬	2018	43.4%	1	2	SB
785	1030	760萬	2011	4.8%	1	2	SB
785	1030	965萬	2015	21.1%	1	2	SB
785	1030	905萬	2016	8.0%	1	2	SB
785	1030	850萬	2017	7.0%	1	2	SB
785	1030	793萬	2010		1	2	SB
785	1030	1,038萬	2017	31.2%	1	2	SB
785	1030	790萬	2010		1	2	SB
785	1030	788萬	2010		1	2	SB
785	1030	787萬	2010		1	2	SB
785	1030	783萬	2010		1	2	SB
785	1030	782萬	2010		1	2	SB
785	1030	764萬	2010		1	2	SB
785	1030	861萬	2016	12.9%	1	2	SB
785	1030	830萬	2014	6.8%	1	2	SB
785	1030	1,230萬	2019	54.1%	1	2	SB
785	1030	774萬	2010		1	2	SB
785	1030	848萬	2012	12.0%	1	2	SB
785	1030	757萬	2010		1	2	SB
785	1030	754萬	2010		1	2	SB
785	1030	890萬	2015	15.9%	1	2	SB
785	1030	858萬	2014	20.5%	1	2	SB
785	1030	768萬	2011	2.5%	1	2	SB
785	1030	764萬	2010		1	2	SB
785	1030	746萬	2010		1	2	SB
785	1030	760萬	2010		1	2	SB
785	1030	760萬	2010		1	2	SB
785	1030	880萬	2015	16.2%	1	2	SB
785	1030	710萬	2011	6.1%	1	2	SB
785	1030	710萬	2011	5.9%	1	2	SB
785	1030	788萬	2014	4.6%	1	2	SB
785	1030	754萬	2010		1	2	SB
785	1030	820萬	2013	8.8%	1	2	SB
785	1030	740萬	2010		1	2	SB
785	1030	739萬	2010		1	2	SB
785	1030	737萬	2010		1	2	SB
785	1030	725萬	2010		1	2	SB
785	1030	753萬	2010		1	2	SB
785	1030	737萬	2010		1	2	SB
785	1030	774萬	2011		1	2	SB
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	2	SC
959	1273	1,142萬	2011		1	2	SC
959	1273	1,142萬	2011		1	2	SC
959	1273	1,138萬	2011		1	2	SC
959	1273	1,135萬	2011		1	2	SC
959	1273	1,131萬	2011		1	2	SC
959	1273	1,129萬	2011		1	2	SC
959	1273	1,127萬	2011		1	2	SC
959	1273	1,500萬	2018	25.2%	1	2	SC
959	1273	1,122萬	2011		1	2	SC
959	1273	1,182萬	2016	5.5%	1	2	SC
959	1273	1,280萬	2011		1	2	SC
959	1273	1,116萬	2011		1	2	SC
959	1273	1,114萬	2011		1	2	SC
959	1273	1,750萬	2018	57.7%	1	2	SC
959	1273	1,107萬	2011		1	2	SC
959	1273	1,105萬	2011		1	2	SC
959	1273	1,103萬	2011		1	2	SC
959	1273	1,101萬	2011		1	2	SC
959	1273	1,099萬	2011		1	2	SC
959	1273	1,094萬	2011		1	2	SC
959	1273	1,081萬	2011		1	2	SC
959	1273	1,081萬	2011		1	2	SC
959	1273	1,077萬	2011		1	2	SC
959	1273	1,075萬	2011		1	2	SC
959	1273	1,073萬	2011		1	2	SC
959	1273	1,040萬	2014		1	2	SC
959	1273	1,485萬	2017	39.0%	1	2	SC
959	1273	1,058萬	2014	0.8%	1	2	SC
959	1273	1,064萬	2011		1	2	SC
959	1273	1,064萬	2011		1	2	SC
959	1273	1,060萬	2011		1	2	SC
959	1273	1,058萬	2011		1	2	SC
959	1273	1,056萬	2011		1	2	SC
959	1273	1,053萬	2011		1	2	SC
959	1273	1,051萬	2011		1	2	SC
959	1273	1,049萬	2011		1	2	SC
959	1273	983萬	2012	6.1%	1	2	SC
959	1273	1,047萬	2011		1	2	SC
959	1273	1,045萬	2011		1	2	SC
959	1273	1,043萬	2011		1	2	SC
959	1273	1,038萬	2011		1	2	SC
959	1273	1,030萬	2011		1	2	SC
959	1273	949萬	2012		1	2	SC
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	2	SD
737	980	1,100萬	2017	22.8%	1	2	SD
737	980	896萬	2011		1	2	SD
737	980	892萬	2011		1	2	SD
737	980	1,048萬	2016	17.7%	1	2	SD
737	980	887萬	2011		1	2	SD
737	980	886萬	2011		1	2	SD
739	980	888萬	2014	0.4%	1	2	SD
739	980	1,438萬	2018	63.0%	1	2	SD
739	980	850萬	2014	3.5%	1	2	SD
739	980	879萬	2011		1	2	SD
739	980	864萬	2013	1.6%	1	2	SD
739	980	980萬	2016	11.9%	1	2	SD
739	980	874萬	2011		1	2	SD
739	980	871萬	2011		1	2	SD
739	980	1,228萬	2017	41.3%	1	2	SD
739	980	868萬	2011		1	2	SD
739	980	866萬	2011		1	2	SD
739	980	865萬	2014	0.1%	1	2	SD
739	980	863萬	2011		1	2	SD
739	980	859萬	2011		1	2	SD
739	980	1,190萬	2017	40.1%	1	2	SD
739	980	849萬	2011		1	2	SD
739	980	1,450萬	2018	71.4%	1	2	SD
739	980	940萬	2015	11.3%	1	2	SD
739	980	940萬	2015	11.5%	1	2	SD
739	980	841萬	2011		1	2	SD
739	980	840萬	2011		1	2	SD
739	980	838萬	2011		1	2	SD
739	980	836萬	2011		1	2	SD
739	980	836萬	2011		1	2	SD
739	980	833萬	2011		1	2	SD
739	980	1,100萬	2017	32.3%	1	2	SD
739	980	830萬	2011		1	2	SD
739	980	828萬	2011		1	2	SD
739	980	826萬	2011		1	2	SD
739	980	825萬	2011		1	2	SD
739	980	823萬	2011		1	2	SD
739	980	823萬	2011		1	2	SD
739	980	821萬	2011		1	2	SD
739	980	1,077萬	2018	17.2%	1	2	SD
739	980	816萬	2011		1	2	SD
739	980	810萬	2011		1	2	SD
718	953	810萬	2011		1	2	SD
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	2	NA
675	901	795萬	2011		1	2	NA
675	901	722萬	2010		1	2	NA
675	901	727萬	2013	0.9%	1	2	NA
675	901	888萬	2015	23.8%	1	2	NA
675	901	714萬	2010		1	2	NA
675	901	895萬	2015	23.0%	1	2	NA
677	901	711萬	2010		1	2	NA
677	901	670萬	2011	7.5%	1	2	NA
677	901	1,170萬	2019	61.8%	1	2	NA
677	901	722萬	2010		1	2	NA
677	901	850萬	2015	20.5%	1	2	NA
677	901	840萬	2015	16.9%	1	2	NA
677	901	1,100萬	2018	56.6%	1	2	NA
677	901	714萬	2010		1	2	NA
677	901	855萬	2016	22.5%	1	2	NA
677	901	780萬	2013	9.7%	1	2	NA
677	901	715萬	2011	0.8%	1	2	NA
677	901	708萬	2010	--	1	2	NA
677	901	706萬	2010		1	2	NA
677	901	690萬	2010		1	2	NA
677	901	703萬	2010		1	2	NA
677	901	689萬	2010		1	2	NA
677	901	950萬	2019	38.5%	1	2	NA
677	901	884萬	2015	29.2%	1	2	NA
677	901	768萬	2013	10.2%	1	2	NA
677	901	735萬	2012	5.7%	1	2	NA
677	901	694萬	2010		1	2	NA
677	901	693萬	2010		1	2	NA
677	901	691萬	2010	--	1	2	NA
677	901	730萬	2011	5.7%	1	2	NA
677	901	700萬	2011	1.8%	1	2	NA
677	901	686萬	2010		1	2	NA
677	901	685萬	2010		1	2	NA
677	901	669萬	2010		1	2	NA
677	901	682萬	2010		1	2	NA
677	901	680萬	2010		1	2	NA
677	901	679萬	2010		1	2	NA
677	901	679萬	2010		1	2	NA
677	901	833萬	2015	23.4%	1	2	NA
677	901	676萬	2010		1	2	NA
677	901	800萬	2016	10.2%	1	2	NA
677	901	710萬	2013	1.3%	1	2	NA
656	874	661萬	2010		1	2	NA
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	2	NB
785	1030	1,120萬	2017	29.0%	1	2	NB
785	1030	790萬	2010		1	2	NB
785	1030	803萬	2010		1	2	NB
785	1030	802萬	2010		1	2	NB
785	1030	782萬	2010		1	2	NB
785	1030	797萬	2010		1	2	NB
785	1030	783萬	2011	1.6%	1	2	NB
785	1030	794萬	2010		1	2	NB
785	1030	835萬	2012	5.3%	1	2	NB
785	1030	930萬	2015	20.0%	1	2	NB
785	1030	790萬	2010		1	2	NB
785	1030	772萬	2010		1	2	NB
785	1030	865萬	2013	10.0%	1	2	NB
785	1030	767萬	2010		1	2	NB
785	1030	803萬	2012	2.7%	1	2	NB
785	1030	848萬	2016	8.7%	1	2	NB
785	1030	779萬	2010		1	2	NB
785	1030	777萬	2010		1	2	NB
785	1030	850萬	2014	9.6%	1	2	NB
785	1030	930萬	2015	20.1%	1	2	NB
785	1030	849萬	2013	9.9%	1	2	NB
785	1030	757萬	2010		1	2	NB
785	1030	760萬	2011	1.2%	1	2	NB
785	1030	752萬	2010		1	2	NB
785	1030	1,080萬	2017	43.8%	1	2	NB
785	1030	749萬	2010		1	2	NB
785	1030	764萬	2010		1	2	NB
785	1030	762萬	2010		1	2	NB
785	1030	745萬	2010		1	2	NB
785	1030	760萬	2010		1	2	NB
785	1030	742萬	2010		1	2	NB
785	1030	756萬	2010		1	2	NB
785	1030	754萬	2010		1	2	NB
785	1030	1,172萬	2018	58.9%	1	2	NB
785	1030	850萬	2016	22.3%	1	2	NB
785	1030	750萬	2010		1	2	NB
785	1030	748萬	2010		1	2	NB
785	1030	808萬	2012	10.2%	1	2	NB
785	1030	945萬	2015	26.6%	1	2	NB
785	1030	1,298萬	2018	74.2%	1	2	NB
785	1030	742萬	2010		1	2	NB
785	1030	794萬	2011		1	2	NB
785	1030	784萬	2011		1	2	NB
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	2	NC
842	1103	1,011萬	2011		1	2	NC
842	1103	959萬	2014	5.1%	1	2	NC
842	1103	1,007萬	2011		1	2	NC
842	1103	1,011萬	2010		1	2	NC
842	1103	1,001萬	2011		1	2	NC
842	1103	1,198萬	2017	19.9%	1	2	NC
842	1103	1,100萬	2015	10.4%	1	2	NC
842	1103	995萬	2011		1	2	NC
842	1103	993萬	2011		1	2	NC
842	1103	1,200萬	2016	21.1%	1	2	NC
842	1103	989萬	2011		1	2	NC
842	1103	1,460萬	2018	39.3%	1	2	NC
842	1103	1,088萬	2015	9.6%	1	2	NC
842	1103	1,021萬	2010		1	2	NC
842	1103	979萬	2011	5.9%	1	2	NC
842	1103	977萬	2011		1	2	NC
842	1103	1,037萬	2010		1	2	NC
842	1103	935萬	2014	7.8%	1	2	NC
842	1103	1,015萬	2016	3.6%	1	2	NC
842	1103	977萬	2010		1	2	NC
842	1103	1,018萬	2010		1	2	NC
842	1103	966萬	2010		1	2	NC
842	1103	1,100萬	2015	10.8%	1	2	NC
842	1103	991萬	2010		1	2	NC
842	1103	1,020萬	2015	7.7%	1	2	NC
842	1103	985萬	2016	2.9%	1	2	NC
842	1103	1,006萬	2010		1	2	NC
842	1103	953萬	2010		1	2	NC
842	1103	951萬	2010		1	2	NC
842	1103	1,050萬	2016	11.8%	1	2	NC
842	1103	935萬	2011		1	2	NC
842	1103	946萬	2010		1	2	NC
842	1103	1,339萬	2018	43.8%	1	2	NC
842	1103	988萬	2016	5.9%	1	2	NC
842	1103	928萬	2011		1	2	NC
842	1103	926萬	2011		1	2	NC
842	1103	924萬	2011		1	2	NC
842	1103	924萬	2011		1	2	NC
842	1103	1,045萬	2016	13.4%	1	2	NC
842	1103	920萬	2011		1	2	NC
842	1103	916萬	2011		1	2	NC
842	1103	908萬	2011		1	2	NC
842	1103	896萬	2011		1	2	NC
實用(呎)	建築(呎)	價錢	年份(年)	升跌	1	2	ND
737	980	896萬	2011		1	2	ND
